                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0334,                  1.131,                 1.0815,                0.57185,                0.73982,                0.65376,                0.43435,                 1.1283,                 1.5665,                 1.1798,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.0795,                 1.2216,                 1.1366,                0.57218,                0.76258,                0.64389,                 0.4314,                 1.1226,                 1.6078,                 1.1759,             0.00057778,             0.00057778,             0.00057778
                     36,                  1.066,                 1.2039,                 1.1187,                0.56139,                0.72598,                0.65424,                0.43816,                 1.1142,                 1.6001,                 1.1715,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0928,                 1.1934,                 1.1203,                0.50824,                0.79679,                0.65654,                0.43877,                 1.1057,                 1.6244,                 1.1749,             0.00051177,             0.00051177,             0.00051177
                     38,                  1.052,                 1.1999,                 1.1138,                0.55899,                0.74137,                0.64857,                0.43786,                 1.0931,                 1.5304,                 1.1695,             0.00047876,             0.00047876,             0.00047876
                     39,                  1.015,                 1.1452,                 1.0817,                0.60743,                0.72602,                0.65164,                0.44556,                 1.0943,                 1.4887,                 1.1631,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.0094,                 1.1571,                 1.0828,                0.59273,                0.73683,                 0.6434,                0.43883,                 1.0945,                 1.4631,                 1.1634,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0243,                 1.2376,                 1.1064,                0.56426,                0.76432,                0.64649,                0.43588,                 1.1103,                 1.4939,                 1.1691,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.0163,                 1.1646,                 1.1049,                0.55863,                0.74155,                0.63345,                0.42771,                 1.1183,                 1.5203,                 1.1678,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.0071,                 1.1704,                 1.1018,                0.54772,                0.73842,                0.64306,                0.44145,                 1.1047,                 1.5219,                  1.166,             0.00031373,             0.00031373,             0.00031373
                     44,                  1.009,                 1.0748,                  1.095,                0.56785,                0.74593,                0.65641,                0.44441,                 1.1096,                 1.5274,                  1.169,             0.00028072,             0.00028072,             0.00028072
                     45,                 0.9882,                 1.0211,                 1.0917,                0.58972,                0.74551,                0.65202,                0.44316,                 1.1054,                 1.5124,                 1.1721,             0.00024772,             0.00024772,             0.00024772
                     46,                0.98917,                 1.0328,                 1.0854,                0.59468,                 0.7686,                0.65837,                0.44365,                 1.1018,                 1.5067,                 1.1751,             0.00021471,             0.00021471,             0.00021471
                     47,                0.97936,                 1.0096,                   1.09,                0.60667,                0.73594,                0.65791,                0.44936,                 1.0919,                 1.5511,                 1.1722,              0.0001817,              0.0001817,              0.0001817
                     48,                0.98303,                 1.0112,                  1.098,                0.60682,                0.74466,                0.66036,                 0.4552,                 1.0869,                 1.5431,                  1.166,              0.0001487,              0.0001487,              0.0001487
                     49,                0.98022,                 1.0025,                 1.0775,                0.61311,                0.74142,                 0.6674,                0.46032,                 1.0827,                 1.5172,                 1.1606,             0.00011569,             0.00011569,             0.00011569
                     50,                 0.9962,                0.97979,                 1.0878,                0.60991,                0.74951,                0.67063,                0.46366,                 1.0825,                 1.5079,                 1.1575,             8.2683e-05,             8.2683e-05,             8.2683e-05
