                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5103,                 3.8399,                 1.9499,                0.00233,                0.03947,                0.00175,                0.00043,                 2.2397,                 3.4886,                  1.791,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.5046,                 3.7399,                  2.128,                0.00237,                0.03947,                0.00205,                0.00055,                 2.2306,                 3.4912,                 1.7937,              4.836e-05,              4.836e-05,              4.836e-05
                      3,                 2.5014,                 3.8225,                 2.0288,                0.00234,                0.03947,                 0.0022,                0.00048,                 2.2212,                 3.4972,                 1.8003,             7.7849e-05,             7.7849e-05,             7.7849e-05
                      4,                 2.4039,                  3.698,                  2.034,                0.00848,                0.26692,                0.00853,                0.00132,                 2.1766,                 3.4487,                 1.7165,             0.00010514,             0.00010514,             0.00010514
                      5,                 2.2891,                 3.6474,                 1.8413,                0.02206,                0.55827,                0.04783,                0.01463,                 2.1015,                 3.4003,                  1.613,             0.00013023,             0.00013023,             0.00013023
                      6,                 2.1619,                 3.4127,                 1.7524,                0.02344,                0.58459,                0.20306,                0.06741,                 1.9347,                  3.339,                  1.467,             0.00015311,             0.00015311,             0.00015311
                      7,                 2.0519,                  3.292,                 1.6125,                0.02808,                0.68609,                0.25338,                0.07632,                 1.8914,                 3.3063,                 1.4042,              0.0001738,              0.0001738,              0.0001738
                      8,                 1.7862,                 3.0149,                 1.4987,                0.02786,                0.67293,                 0.2792,                0.11223,                 1.7796,                 3.2422,                 1.3269,             0.00019229,             0.00019229,             0.00019229
                      9,                 1.6339,                  2.826,                 1.3889,                0.02832,                0.69549,                0.28924,                0.13499,                 1.6985,                  3.202,                 1.2672,             0.00020858,             0.00020858,             0.00020858
                     10,                 1.6183,                 2.6292,                 1.3527,                0.03033,                 0.7218,                0.31371,                0.14715,                 1.6426,                 3.1365,                 1.2088,             0.00022266,             0.00022266,             0.00022266
                     11,                 1.7609,                 2.3152,                   1.35,                0.03162,                0.71241,                0.30567,                0.13046,                  1.646,                 3.0544,                 1.2001,             0.00023455,             0.00023455,             0.00023455
                     12,                 1.5945,                 2.1247,                  1.268,                0.03162,                0.71241,                0.30567,                0.13046,                  1.646,                 3.0544,                 1.2001,             0.00024423,             0.00024423,             0.00024423
                     13,                 1.6199,                 2.0526,                 1.2517,                 0.0358,                0.79135,                0.32628,                0.14204,                 1.6134,                  2.927,                 1.1673,             0.00025172,             0.00025172,             0.00025172
                     14,                 1.5875,                 1.9391,                 1.2463,                0.03835,                0.85714,                0.32152,                0.16516,                 1.5671,                 2.7809,                  1.149,               0.000257,               0.000257,               0.000257
                     15,                 1.6848,                 1.7026,                 1.2987,                0.03835,                0.85714,                0.32152,                0.16516,                 1.5671,                 2.7809,                  1.149,             0.00026009,             0.00026009,             0.00026009
                     16,                 1.6683,                 1.9119,                  1.388,                 0.8299,                0.15789,                0.39371,                0.20602,                 1.4898,                 2.6166,                 1.1216,             0.00026097,             0.00026097,             0.00026097
                     17,                 1.6085,                 1.7082,                 1.2566,                0.79215,                0.11842,                 0.3977,                 0.2084,                 1.4889,                  2.505,                 1.1235,             0.00025965,             0.00025965,             0.00025965
                     18,                 1.5564,                 1.8213,                 1.2448,                0.79215,                0.11842,                 0.3977,                 0.2084,                 1.4889,                  2.505,                 1.1235,             0.00025613,             0.00025613,             0.00025613
                     19,                 1.5643,                 1.9953,                 1.2493,                0.79592,                0.20989,                0.44539,                0.22803,                 1.5005,                 2.3644,                 1.1345,             0.00025042,             0.00025042,             0.00025042
                     20,                  1.653,                 1.7533,                 1.2836,                0.79592,                0.20989,                0.44539,                0.22803,                 1.5005,                 2.3644,                 1.1345,              0.0002425,              0.0002425,              0.0002425
                     21,                  1.484,                 1.8001,                 1.2207,                0.76653,                0.34553,                0.48082,                 0.2574,                 1.4828,                 2.1673,                 1.1383,             0.00023238,             0.00023238,             0.00023238
                     22,                 1.4436,                 1.7411,                 1.2432,                0.76653,                0.34553,                0.48082,                 0.2574,                 1.4828,                 2.1673,                 1.1383,             0.00022006,             0.00022006,             0.00022006
                     23,                 1.4247,                 1.5466,                 1.2103,                0.77712,                0.42105,                 0.5021,                0.28088,                 1.4455,                 2.0343,                 1.1365,             0.00020554,             0.00020554,             0.00020554
                     24,                 1.4109,                 1.4724,                 1.2081,                0.77712,                0.42105,                 0.5021,                0.28088,                 1.4455,                 2.0343,                 1.1365,             0.00018882,             0.00018882,             0.00018882
                     25,                 1.3809,                  1.446,                 1.1671,                0.77754,                0.44737,                 0.5113,                0.28588,                  1.426,                 1.9569,                 1.1293,              0.0001699,              0.0001699,              0.0001699
                     26,                 1.3581,                 1.4024,                 1.1883,                0.77754,                0.44737,                 0.5113,                0.28588,                  1.426,                 1.9569,                 1.1293,             0.00014878,             0.00014878,             0.00014878
