                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6351,                 3.7829,                 2.0682,                0.02054,                0.57331,                0.01962,                0.00514,                 2.3317,                 3.4216,                 1.8295,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.4747,                 3.6978,                 2.1114,                0.01985,                0.53759,                0.01697,                 0.0055,                 2.2976,                 3.4294,                 1.8108,              4.836e-05,              4.836e-05,              4.836e-05
                      3,                 2.5269,                 3.7541,                 2.0951,                0.02116,                 0.5282,                0.01966,                0.00583,                 2.3004,                 3.4319,                 1.8138,             7.7849e-05,             7.7849e-05,             7.7849e-05
                      4,                 2.4838,                 3.6403,                 2.1184,                0.03136,                0.71805,                0.02685,                0.00968,                 2.2015,                 3.4163,                 1.7186,             0.00010514,             0.00010514,             0.00010514
                      5,                 2.3482,                 3.5852,                  1.947,                 0.0456,                0.96429,                0.05127,                0.01901,                 2.0302,                 3.3782,                 1.5814,             0.00013023,             0.00013023,             0.00013023
                      6,                 2.0838,                 3.4055,                 1.7766,                0.04204,                0.92857,                 0.0865,                0.02902,                 1.8698,                 3.3031,                 1.4468,             0.00015311,             0.00015311,             0.00015311
                      7,                 2.0732,                 3.2722,                 1.6484,                0.04018,                0.91541,                 0.2075,                0.07031,                 1.7504,                  3.263,                 1.3523,              0.0001738,              0.0001738,              0.0001738
                      8,                 1.7792,                 3.0122,                 1.5107,                0.04156,                0.96429,                0.27105,                0.08681,                 1.6716,                 3.2393,                 1.3167,             0.00019229,             0.00019229,             0.00019229
                      9,                 1.6234,                 2.8936,                 1.4231,                0.04143,                0.96429,                0.27406,                0.10806,                 1.5909,                 3.1716,                 1.2613,             0.00020858,             0.00020858,             0.00020858
                     10,                 1.5597,                 2.6912,                 1.3344,                0.04137,                0.96429,                 0.3118,                0.15747,                 1.5295,                 3.0655,                 1.1944,             0.00022266,             0.00022266,             0.00022266
                     11,                 1.6144,                 2.4633,                  1.306,                0.04137,                0.96429,                0.33995,                0.18825,                 1.4959,                 2.9634,                  1.156,             0.00023455,             0.00023455,             0.00023455
                     12,                 1.5522,                 2.2371,                 1.2439,                0.04137,                0.96429,                0.33995,                0.18825,                 1.4959,                 2.9634,                  1.156,             0.00024423,             0.00024423,             0.00024423
                     13,                 1.5521,                 2.1135,                 1.2282,                0.04128,                0.92857,                0.34451,                0.18596,                 1.4619,                 2.8289,                 1.1331,             0.00025172,             0.00025172,             0.00025172
                     14,                 1.4954,                 1.9758,                 1.2079,                0.81709,                0.11426,                0.36436,                 0.1993,                 1.4286,                 2.7192,                 1.1198,               0.000257,               0.000257,               0.000257
                     15,                  1.632,                 1.7692,                 1.2683,                0.81709,                0.11426,                0.36436,                 0.1993,                 1.4286,                 2.7192,                 1.1198,             0.00026009,             0.00026009,             0.00026009
                     16,                 1.5435,                 1.8399,                 1.2907,                0.81901,                0.11611,                0.40341,                0.24494,                 1.3883,                 2.6214,                 1.1025,             0.00026097,             0.00026097,             0.00026097
                     17,                 1.5682,                  1.781,                 1.2512,                0.82779,                0.15046,                0.41067,                0.24356,                 1.4375,                 2.5804,                 1.1321,             0.00025965,             0.00025965,             0.00025965
                     18,                 1.5487,                 1.7767,                 1.2582,                0.82779,                0.15046,                0.41067,                0.24356,                 1.4375,                 2.5804,                 1.1321,             0.00025613,             0.00025613,             0.00025613
                     19,                 1.4434,                 1.7216,                 1.1809,                0.85199,                0.21053,                0.46511,                0.27197,                 1.4183,                 2.4934,                 1.1098,             0.00025042,             0.00025042,             0.00025042
                     20,                 1.5399,                 1.6316,                 1.2289,                0.85199,                0.21053,                0.46511,                0.27197,                 1.4183,                 2.4934,                 1.1098,              0.0002425,              0.0002425,              0.0002425
                     21,                 1.4957,                  1.866,                 1.2234,                0.85084,                0.30957,                 0.4536,                0.27417,                 1.4313,                 2.3277,                 1.1203,             0.00023238,             0.00023238,             0.00023238
                     22,                 1.4787,                 1.9302,                 1.2651,                0.85084,                0.30957,                 0.4536,                0.27417,                 1.4313,                 2.3277,                 1.1203,             0.00022006,             0.00022006,             0.00022006
