                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9507,                  2.216,                 1.7796,                0.38144,                0.69738,                0.46702,                0.30213,                 1.2461,                 2.2982,                 1.3213,             0.00025005,             0.00025005,             0.00025005
                      2,                  1.285,                  1.076,                 1.3357,                0.37358,                0.51277,                0.49104,                0.32392,                 1.2192,                 2.0331,                 1.3366,             0.00049972,             0.00049972,             0.00049972
                      3,                 1.1659,                 0.8538,                  1.247,                0.43046,                0.61059,                0.52789,                0.34286,                 1.1825,                 1.2246,                  1.372,             0.00073178,             0.00073178,             0.00073178
                      4,                 1.1527,                 0.8732,                 1.2914,                0.47994,                0.65547,                0.50444,                0.32784,                  1.219,                 1.4171,                 1.4639,             0.00094624,             0.00094624,             0.00094624
                      5,                 1.1362,                0.85502,                 1.2941,                0.43787,                0.72723,                0.52766,                0.34572,                 1.2018,                 1.0694,                 1.4412,              0.0011431,              0.0011431,              0.0011431
                      6,                 1.1313,                0.83911,                 1.2491,                0.54412,                0.56265,                0.56794,                 0.3577,                  1.222,                 1.1334,                 1.4471,              0.0013223,              0.0013223,              0.0013223
                      7,                 1.1147,                0.84198,                 1.2618,                0.70348,                0.52968,                0.52136,                0.32754,                 1.1928,                 1.3157,                 1.4343,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.1883,                0.88207,                  1.308,                 0.4034,                0.77068,                0.51548,                0.33937,                 1.2211,                0.96644,                  1.463,              0.0013369,              0.0013369,              0.0013369
                      9,                  1.092,                0.76459,                 1.2257,                0.38349,                0.64389,                0.49439,                0.31655,                 1.1863,                0.92525,                 1.4292,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.1272,                0.86548,                 1.2579,                0.55016,                0.55228,                0.57646,                0.38496,                 1.1853,                0.91677,                 1.4481,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.1263,                0.79935,                 1.2465,                0.48466,                0.57149,                0.56616,                0.36083,                 1.1744,                 1.0092,                 1.4345,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.0739,                0.78199,                  1.225,                0.46393,                0.64631,                0.56838,                0.38006,                 1.1631,                0.83379,                 1.4249,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.0654,                 0.7366,                 1.2317,                0.53733,                0.65821,                0.61345,                0.40406,                 1.1459,                0.83378,                 1.3989,              0.0010619,              0.0010619,              0.0010619
                     14,                  1.036,                 0.7837,                 1.2217,                0.51892,                0.68288,                0.62803,                0.40952,                 1.1843,                0.80588,                 1.4326,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.0584,                 0.7391,                 1.2435,                0.65478,                0.63815,                0.66583,                 0.4467,                 1.1438,                0.79887,                 1.4149,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.0167,                 0.6693,                 1.1933,                0.63592,                0.70608,                0.68757,                0.46162,                 1.1608,                 0.7795,                 1.4459,             0.00089685,             0.00089685,             0.00089685
                     17,                  1.037,                0.66118,                 1.2115,                0.67821,                0.70995,                0.69589,                0.47067,                 1.1207,                0.72907,                 1.4023,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.0073,                0.68555,                 1.2128,                0.61709,                0.75104,                0.67926,                0.46585,                 1.1084,                0.71265,                 1.3816,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.0195,                0.65664,                 1.2126,                0.63553,                0.72947,                0.68557,                0.47684,                 1.1193,                0.67448,                  1.404,             0.00073181,             0.00073181,             0.00073181
                     20,                0.98483,                0.61276,                 1.1765,                 0.6827,                0.68988,                0.67843,                0.46397,                 1.1076,                0.71124,                 1.3981,              0.0006768,              0.0006768,              0.0006768
                     21,                0.99299,                0.67037,                 1.2296,                0.60334,                0.75311,                0.66784,                0.45448,                 1.1184,                0.72389,                  1.392,             0.00062179,             0.00062179,             0.00062179
                     22,                0.99789,                0.66947,                 1.2355,                0.65986,                 0.6971,                0.66469,                 0.4536,                 1.1237,                0.72441,                  1.406,             0.00056678,             0.00056678,             0.00056678
                     23,                0.97133,                0.62144,                 1.2177,                0.63058,                0.67754,                0.65742,                0.45464,                 1.1054,                0.71339,                 1.3854,             0.00051177,             0.00051177,             0.00051177
                     24,                0.98082,                0.61217,                 1.2277,                0.62688,                0.70807,                0.67555,                0.46628,                 1.1081,                0.70946,                 1.3844,             0.00045676,             0.00045676,             0.00045676
                     25,                0.95946,                0.58279,                 1.2286,                0.68253,                0.70446,                0.70374,                0.48535,                 1.1294,                0.69436,                 1.4065,             0.00040175,             0.00040175,             0.00040175
                     26,                  0.947,                0.58463,                 1.2116,                0.67918,                0.68907,                0.68658,                0.47569,                 1.0953,                0.69324,                 1.3737,             0.00034674,             0.00034674,             0.00034674
                     27,                0.93473,                0.58559,                  1.191,                0.66758,                0.66643,                0.68602,                0.47715,                 1.0759,                0.68645,                 1.3655,             0.00029172,             0.00029172,             0.00029172
                     28,                0.93807,                0.56564,                 1.1934,                0.70164,                0.64629,                0.69681,                0.49086,                 1.0638,                0.67343,                 1.3583,             0.00023671,             0.00023671,             0.00023671
                     29,                0.95545,                0.55304,                 1.2154,                0.67552,                0.68648,                0.70353,                0.50058,                 1.0669,                0.67569,                 1.3603,              0.0001817,              0.0001817,              0.0001817
                     30,                0.92775,                0.54266,                 1.1895,                0.66678,                0.69142,                0.70557,                0.50547,                 1.0671,                 0.6821,                 1.3591,             0.00012669,             0.00012669,             0.00012669
